Index,File,Points,Lambda_Min,Lambda_Max,Integral,Peak_Value,Peak_Lambda,Mean_Value,Time_HMS
80,500_145_QEPB04081__80__11-30-14-647.txt,1044,220.843,1015.12,562164.89676,17391.38,507.253,696.938429118777,2000-01-01 11:30:14
81,500_145_QEPB04081__81__11-30-15-644.txt,1044,220.843,1015.12,562504.79074,17415.62,507.253,697.36425287356,2000-01-01 11:30:15
82,500_145_QEPB04081__82__11-30-16-643.txt,1044,220.843,1015.12,562551.52774,17432.62,507.253,697.420766283522,2000-01-01 11:30:16
83,500_145_QEPB04081__83__11-30-17-643.txt,1044,220.843,1015.12,562238.808,17408.5,507.253,697.035440613027,2000-01-01 11:30:17
84,500_145_QEPB04081__84__11-30-18-638.txt,1044,220.843,1015.12,561790.18924,17392.12,507.253,696.469616858235,2000-01-01 11:30:18
85,500_145_QEPB04081__85__11-30-19-638.txt,1044,220.843,1015.12,562073.25125,17397.25,508.027,696.82183908046,2000-01-01 11:30:19
86,500_145_QEPB04081__86__11-30-20-632.txt,1044,220.843,1015.12,565939.74675,17524.25,507.253,701.615900383142,2000-01-01 11:30:20
87,500_145_QEPB04081__87__11-30-21-625.txt,1044,220.843,1015.12,560575.09375,17342.75,508.027,694.956896551724,2000-01-01 11:30:21
88,500_145_QEPB04081__88__11-30-22-627.txt,1044,220.843,1015.12,554419.7985,17174.5,507.253,687.322796934866,2000-01-01 11:30:22
89,500_145_QEPB04081__89__11-30-23-622.txt,1044,220.843,1015.12,557353.66624,17255.62,506.48,690.967701149422,2000-01-01 11:30:23
90,500_145_QEPB04081__90__11-30-24-612.txt,1044,220.843,1015.12,563495.12925,17378.75,507.253,698.591954022988,2000-01-01 11:30:24
91,500_145_QEPB04081__91__11-30-25-602.txt,1044,220.843,1015.12,562601.245,17408,507.253,697.477011494253,2000-01-01 11:30:25
92,500_145_QEPB04081__92__11-30-26-603.txt,1044,220.843,1015.12,561998.20076,17409.38,507.253,696.720038314179,2000-01-01 11:30:26
93,500_145_QEPB04081__93__11-30-27-595.txt,1044,220.843,1015.12,562993.84425,17423.75,508.027,697.973180076628,2000-01-01 11:30:27
