Index,File,Points,Lambda_Min,Lambda_Max,Integral,Peak_Value,Peak_Lambda,Mean_Value
83,500_425_QEPB04081__83__15-49-41-340.txt,1044,220.843,1015.12,1272294.10176,37273.88,504.934,1576.76793103449
84,500_425_QEPB04081__84__15-49-42-332.txt,1044,220.843,1015.12,1272264.78425,37151.75,504.934,1576.74329501916
85,500_425_QEPB04081__85__15-49-43-350.txt,1044,220.843,1015.12,1271669.1225,37155,504.934,1575.99425287356
86,500_425_QEPB04081__86__15-49-44-339.txt,1044,220.843,1015.12,1271627.53275,37190.75,504.934,1575.94540229885
87,500_425_QEPB04081__87__15-49-45-338.txt,1044,220.843,1015.12,1271282.77126,37170.88,504.934,1575.51601532567
88,500_425_QEPB04081__88__15-49-46-334.txt,1044,220.843,1015.12,1271526.68026,37105.38,504.934,1575.82444444445
89,500_425_QEPB04081__89__15-49-47-327.txt,1044,220.843,1015.12,1270860.27576,37147.88,504.934,1574.99111111111
90,500_425_QEPB04081__90__15-49-48-332.txt,1044,220.843,1015.12,1270731.5205,37120,504.934,1574.83524904215
91,500_425_QEPB04081__91__15-49-49-332.txt,1044,220.843,1015.12,1271018.75575,37088.75,504.934,1575.20114942529
92,500_425_QEPB04081__92__15-49-50-332.txt,1044,220.843,1015.12,1247717.26175,36519.25,504.934,1546.31513409962
93,500_425_QEPB04081__93__15-49-51-327.txt,1044,220.843,1015.12,1273242.173,37193.5,504.934,1577.9530651341
94,500_425_QEPB04081__94__15-49-52-333.txt,1044,220.843,1015.12,1270699.62826,37119.38,504.934,1574.80241379311
95,500_425_QEPB04081__95__15-49-53-344.txt,1044,220.843,1015.12,1271059.47125,37142.25,504.934,1575.24904214559
96,500_425_QEPB04081__96__15-49-54-347.txt,1044,220.843,1015.12,1270358.4885,37128.5,504.934,1574.37068965517
97,500_425_QEPB04081__97__15-49-55-360.txt,1044,220.843,1015.12,1270977.282,37071.5,504.934,1575.15229885057
98,500_425_QEPB04081__98__15-49-56-359.txt,1044,220.843,1015.12,1270538.74525,37067.25,504.934,1574.60632183908
99,500_425_QEPB04081__99__15-49-57-354.txt,1044,220.843,1015.12,1270606.825,37046.5,504.934,1574.69252873563
100,500_425_QEPB04081__100__15-49-58-346.txt,1044,220.843,1015.12,1270122.15774,37055.12,504.934,1574.089348659
101,500_425_QEPB04081__101__15-49-59-342.txt,1044,220.843,1015.12,1270607.7645,37158,504.934,1574.69061302682
102,500_425_QEPB04081__102__15-50-00-347.txt,1044,220.843,1015.12,1270073.68626,37064.88,504.934,1574.02655172414
103,500_425_QEPB04081__103__15-50-01-341.txt,1044,220.843,1015.12,1270180.92925,37025.25,504.934,1574.16379310345
