Index,File,Points,Lambda_Min,Lambda_Max,Integral,Peak_Value,Peak_Lambda,Mean_Value,Time_HMS
57,500_565_QEPB04081__57__09-51-23-065.txt,1044,220.843,1015.12,1552808.98724,44656.62,504.16,1924.20524904214,2000-01-01 09:51:23
58,500_565_QEPB04081__58__09-51-24-067.txt,1044,220.843,1015.12,1553211.464,44647,504.16,1924.72509578544,2000-01-01 09:51:24
59,500_565_QEPB04081__59__09-51-25-058.txt,1044,220.843,1015.12,1551417.92174,44580.12,504.16,1922.49164750958,2000-01-01 09:51:25
60,500_565_QEPB04081__60__09-51-26-073.txt,1044,220.843,1015.12,1552230.63774,44568.62,504.16,1923.50697318007,2000-01-01 09:51:26
61,500_565_QEPB04081__61__09-51-27-068.txt,1044,220.843,1015.12,1550536.08076,44549.38,504.934,1921.40107279694,2000-01-01 09:51:27
62,500_565_QEPB04081__62__09-51-28-062.txt,1044,220.843,1015.12,1551613.20274,44510.12,504.934,1922.75314176245,2000-01-01 09:51:28
63,500_565_QEPB04081__63__09-51-29-059.txt,1044,220.843,1015.12,1550651.74625,44493.25,504.16,1921.54789272031,2000-01-01 09:51:29
64,500_565_QEPB04081__64__09-51-30-053.txt,1044,220.843,1015.12,1549697.53225,44473.75,504.934,1920.35823754789,2000-01-01 09:51:30
65,500_565_QEPB04081__65__09-51-31-048.txt,1044,220.843,1015.12,1550786.42526,44491.38,504.16,1921.71429118774,2000-01-01 09:51:31
66,500_565_QEPB04081__66__09-51-32-042.txt,1044,220.843,1015.12,1550680.38976,44439.38,504.16,1921.58593869732,2000-01-01 09:51:32
67,500_565_QEPB04081__67__09-51-33-046.txt,1044,220.843,1015.12,1550414.94126,44528.88,504.16,1921.26505747127,2000-01-01 09:51:33
68,500_565_QEPB04081__68__09-51-34-038.txt,1044,220.843,1015.12,1549596.46926,44431.88,504.16,1920.25356321839,2000-01-01 09:51:34
69,500_565_QEPB04081__69__09-51-35-034.txt,1044,220.843,1015.12,1549271.54176,44389.88,504.16,1919.83593869732,2000-01-01 09:51:35
70,500_565_QEPB04081__70__09-51-36-025.txt,1044,220.843,1015.12,1549249.96124,44393.62,504.16,1919.82785440613,2000-01-01 09:51:36
71,500_565_QEPB04081__71__09-51-37-035.txt,1044,220.843,1015.12,1548541.14526,44392.38,504.16,1918.94417624521,2000-01-01 09:51:37
72,500_565_QEPB04081__72__09-51-38-029.txt,1044,220.843,1015.12,1550922.12924,44519.62,504.16,1921.89873563218,2000-01-01 09:51:38
73,500_565_QEPB04081__73__09-51-39-030.txt,1044,220.843,1015.12,1504946.55274,43138.12,504.16,1864.92172413793,2000-01-01 09:51:39
74,500_565_QEPB04081__74__09-51-40-023.txt,1044,220.843,1015.12,1489221.96925,42713.75,504.16,1845.44061302682,2000-01-01 09:51:40
75,500_565_QEPB04081__75__09-51-41-028.txt,1044,220.843,1015.12,1541735.06524,44171.12,504.934,1910.51367816092,2000-01-01 09:51:41
76,500_565_QEPB04081__76__09-51-42-027.txt,1044,220.843,1015.12,1543606.1915,44177,504.16,1912.82567049808,2000-01-01 09:51:42
77,500_565_QEPB04081__77__09-51-43-026.txt,1044,220.843,1015.12,1543862.42674,44221.12,504.934,1913.14681992337,2000-01-01 09:51:43
78,500_565_QEPB04081__78__09-51-44-036.txt,1044,220.843,1015.12,1544255.60626,44215.88,504.16,1913.63383141763,2000-01-01 09:51:44
79,500_565_QEPB04081__79__09-51-45-050.txt,1044,220.843,1015.12,1544986.23874,44234.62,504.16,1914.54624521072,2000-01-01 09:51:45
80,500_565_QEPB04081__80__09-51-46-046.txt,1044,220.843,1015.12,1544862.8525,44129,504.16,1914.40134099617,2000-01-01 09:51:46
81,500_565_QEPB04081__81__09-51-47-038.txt,1044,220.843,1015.12,1543896.74225,44183.75,504.16,1913.18582375479,2000-01-01 09:51:47
82,500_565_QEPB04081__82__09-51-48-030.txt,1044,220.843,1015.12,1544207.67124,44166.62,504.16,1913.58647509578,2000-01-01 09:51:48
83,500_565_QEPB04081__83__09-51-49-028.txt,1044,220.843,1015.12,1544456.9405,44177,504.934,1913.90325670498,2000-01-01 09:51:49
84,500_565_QEPB04081__84__09-51-50-017.txt,1044,220.843,1015.12,1544330.13074,44182.62,504.16,1913.73877394636,2000-01-01 09:51:50
85,500_565_QEPB04081__85__09-51-51-014.txt,1044,220.843,1015.12,1543968.3095,44173.5,504.16,1913.29214559387,2000-01-01 09:51:51
86,500_565_QEPB04081__86__09-51-52-011.txt,1044,220.843,1015.12,1543205.13076,44116.38,504.16,1912.34360153257,2000-01-01 09:51:52
87,500_565_QEPB04081__87__09-51-53-010.txt,1044,220.843,1015.12,1542873.24275,44116.75,504.16,1911.94252873563,2000-01-01 09:51:53
88,500_565_QEPB04081__88__09-51-54-006.txt,1044,220.843,1015.12,1543409.63824,44108.12,504.934,1912.61137931034,2000-01-01 09:51:54
89,500_565_QEPB04081__89__09-51-55-003.txt,1044,220.843,1015.12,1542839.55526,44034.38,504.934,1911.89724137931,2000-01-01 09:51:55
90,500_565_QEPB04081__90__09-51-56-001.txt,1044,220.843,1015.12,1543492.71175,43971.25,504.934,1912.72030651341,2000-01-01 09:51:56
92,500_565_QEPB04081__92__09-51-57-993.txt,1044,220.843,1015.12,1541694.67376,44046.88,504.934,1910.47961685824,2000-01-01 09:51:57
93,500_565_QEPB04081__93__09-51-58-990.txt,1044,220.843,1015.12,1541327.42876,43936.88,504.934,1910.03900383142,2000-01-01 09:51:58
94,500_565_QEPB04081__94__09-51-59-997.txt,1044,220.843,1015.12,1540909.7265,43954,504.934,1909.50766283525,2000-01-01 09:51:59
95,500_565_QEPB04081__95__09-52-00-999.txt,1044,220.843,1015.12,1540844.93926,43974.38,504.934,1909.43172413793,2000-01-01 09:52:00
